id,title,slug,lead,content,image,type,custom_field,parent_id,created_at,updated_at,language,seo_title,seo_content,seo_title_desc,seo_content_desc,category_id
47,Frasers Hospitality to Almost Double Footprint in China as it Maintains Strong Growth Momentum,frasers-hospitality-to-almost-double-footprint-in-china-as-it-maintains-strong-growth-momentum,18 May 2018,18 May 2018,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/fraser-suites-doha-lounge-2/Fraser-Suites-Doha-Lounge-2.jpg,press_release,,,2024-11-26 23:58:56,2024-11-26 23:58:56,en,Frasers Hospitality to Almost Double Footprint in China as it Maintains Strong Growth Momentum,18 May 2018,Frasers Hospitality to Almost Double Footprint in China as it Maintains Strong Growth Momentum,18 May 2018,
48,Frasers Hospitality Develops First-of-its-Kind Revenue Management Capabilities for Long Stays,frasers-hospitality-develops-first-of-its-kind-revenue-management-capabilities-for-long-stays,02 May 2018,02 May 2018,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-develops-first-of-its-kind-revenue-management-capabilities-for-long-stays/Fraser_Place_Setiabudi_Jakarta.jpg,press_release,,,2024-11-26 23:58:56,2024-11-26 23:58:56,en,Frasers Hospitality Develops First-of-its-Kind Revenue Management Capabilities for Long Stays,02 May 2018,Frasers Hospitality Develops First-of-its-Kind Revenue Management Capabilities for Long Stays,02 May 2018,
49,"Capri by Fraser Brings People-Centric Tech to Singapore’s CBD on the Back of Expansion in Southeast Asia, Australia and Europe","capri-by-fraser-brings-people-centric-tech-to-singapore’s-cbd-on-the-back-of-expansion-in-southeast-asia,-australia-and-europe",10 April 2018,10 April 2018,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/-capri-by-fraser-brings-people-centric-tech-to-singapores-cbd-on-the-back-of-expansion-in-southeast-asia-australia-and-europe/Capri_by_Fraser_China_Square_Singapore_main_lobby.jpg,press_release,,,2024-11-26 23:58:57,2024-11-26 23:58:57,en,"Capri by Fraser Brings People-Centric Tech to Singapore’s CBD on the Back of Expansion in Southeast Asia, Australia and Europe",10 April 2018,"Capri by Fraser Brings People-Centric Tech to Singapore’s CBD on the Back of Expansion in Southeast Asia, Australia and Europe",10 April 2018,
50,Frasers Hospitality Doubles Middle East Portfolio,frasers-hospitality-doubles-middle-east-portfolio,08 March 2018,08 March 2018,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-doubles-middle-east-portfolio/Fraser_Suites_Riyadh_Penthouse_Dining_Room.jpg,press_release,,,2024-11-26 23:58:57,2024-11-26 23:58:57,en,Frasers Hospitality Doubles Middle East Portfolio,08 March 2018,Frasers Hospitality Doubles Middle East Portfolio,08 March 2018,
51,Frasers Hospitality Wins World’s Leading Serviced Apartment Brand for Fourth Year Running,frasers-hospitality-wins-world’s-leading-serviced-apartment-brand-for-fourth-year-running,10 December 2017,10 December 2017,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-wins-worlds-leading-serviced-apartment-brand-for-fourth-year-running/itemImage_8111_thumb.jpg,press_release,,,2024-11-26 23:58:57,2024-11-26 23:58:57,en,Frasers Hospitality Wins World’s Leading Serviced Apartment Brand for Fourth Year Running,10 December 2017,Frasers Hospitality Wins World’s Leading Serviced Apartment Brand for Fourth Year Running,10 December 2017,
52,Frasers Hospitality on Track to Double Portfolio in China,frasers-hospitality-on-track-to-double-portfolio-in-china,03 November 2017,03 November 2017,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/-frasers-hospitality-on-track-to-double-portfolio-in-china/Modena-Changsha-1-Bedroom-Executive-Living-Room.jpg,press_release,,,2024-11-26 23:58:58,2024-11-26 23:58:58,en,Frasers Hospitality on Track to Double Portfolio in China,03 November 2017,Frasers Hospitality on Track to Double Portfolio in China,03 November 2017,
53,Frasers Hospitality Sweeps Seven Prestigious Awards at World Travel Awards for Europe,frasers-hospitality-sweeps-seven-prestigious-awards-at-world-travel-awards-for-europe,01 October 2017,01 October 2017,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-sweeps-seven-prestigious-awards-at-world-travel-awards-for-europe/WTA_EU_lowres_edited.jpg,press_release,,,2024-11-26 23:58:58,2024-11-26 23:58:58,en,Frasers Hospitality Sweeps Seven Prestigious Awards at World Travel Awards for Europe,01 October 2017,Frasers Hospitality Sweeps Seven Prestigious Awards at World Travel Awards for Europe,01 October 2017,
54,Frasers Hospitality Meets Travellers’ Needs with Revamped Loyalty Programme,frasers-hospitality-meets-travellers’-needs-with-revamped-loyalty-programme,14 September 2017,14 September 2017,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-launches-holiday-extravaganza-2019/itemImage_11641_thumb.jpg,press_release,,,2024-11-26 23:58:59,2024-11-26 23:58:59,en,Frasers Hospitality Meets Travellers’ Needs with Revamped Loyalty Programme,14 September 2017,Frasers Hospitality Meets Travellers’ Needs with Revamped Loyalty Programme,14 September 2017,
55,Frasers Hospitality Unveils Refreshed Modena by Fraser Brand,frasers-hospitality-unveils-refreshed-modena-by-fraser-brand,30 August 2017,30 August 2017,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/-frasers-hospitality-unveils-refreshed-modena-by-fraser-brand/Studio_Premier_1L_5567c0.jpg,press_release,,,2024-11-26 23:58:59,2024-11-26 23:58:59,en,Frasers Hospitality Unveils Refreshed Modena by Fraser Brand,30 August 2017,Frasers Hospitality Unveils Refreshed Modena by Fraser Brand,30 August 2017,
56,Frasers Hospitality Expands Capri by Fraser Brand to Meet Rising Demand from Millennial Travellers,frasers-hospitality-expands-capri-by-fraser-brand-to-meet-rising-demand-from-millennial-travellers,12 June 2017,12 June 2017,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-expands-capri-by-fraser-brand-to-meet-rising-demand-from-millennial-travellers/rsz_lobby.jpg,press_release,,,2024-11-26 23:58:59,2024-11-26 23:58:59,en,Frasers Hospitality Expands Capri by Fraser Brand to Meet Rising Demand from Millennial Travellers,12 June 2017,Frasers Hospitality Expands Capri by Fraser Brand to Meet Rising Demand from Millennial Travellers,12 June 2017,
57,"Frasers Hospitality Honoured as Leading Serviced Apartment Brand in Australasia, China, Indonesia and South Korea","frasers-hospitality-honoured-as-leading-serviced-apartment-brand-in-australasia,-china,-indonesia-and-south-korea",05 June 2017,05 June 2017,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/-frasers-hospitality-wins-highest-worldwide-distinction/Frasers%20Hospitality%20Wins%20Highest%20Worldwide%20Distinction.jpg,press_release,,,2024-11-26 23:59:00,2024-11-26 23:59:00,en,"Frasers Hospitality Honoured as Leading Serviced Apartment Brand in Australasia, China, Indonesia and South Korea",05 June 2017,"Frasers Hospitality Honoured as Leading Serviced Apartment Brand in Australasia, China, Indonesia and South Korea",05 June 2017,
58,Frasers Hospitality Strengthens Foothold in Southeast Asia’s Largest Economy,frasers-hospitality-strengthens-foothold-in-southeast-asia’s-largest-economy,24 January 2017,24 January 2017,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-strengthens-foothold-in-southeast-asias-largest-economy/rsz_frasersuiteskuningan_facade.jpg,press_release,,,2024-11-26 23:59:01,2024-11-26 23:59:01,en,Frasers Hospitality Strengthens Foothold in Southeast Asia’s Largest Economy,24 January 2017,Frasers Hospitality Strengthens Foothold in Southeast Asia’s Largest Economy,24 January 2017,
59,Frasers Hospitality Launches North Park Place in Thailand,frasers-hospitality-launches-north-park-place-in-thailand,12 December 2016,12 December 2016,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-launches-north-park-place-in-thailand/3bdrm_Living-2.jpg,press_release,,,2024-11-26 23:59:01,2024-11-26 23:59:01,en,Frasers Hospitality Launches North Park Place in Thailand,12 December 2016,Frasers Hospitality Launches North Park Place in Thailand,12 December 2016,
60,Frasers Hospitality Strengthens Malaysia Footprint with the Addition of Fraser Residence Putrajaya,frasers-hospitality-strengthens-malaysia-footprint-with-the-addition-of-fraser-residence-putrajaya,01 September 2016,01 September 2016,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-strengthens-malaysia-footprint-with-the-addition-of-fraser-residence-putrajaya/FR_Putrajaya.jpg,press_release,,,2024-11-26 23:59:01,2024-11-26 23:59:01,en,Frasers Hospitality Strengthens Malaysia Footprint with the Addition of Fraser Residence Putrajaya,01 September 2016,Frasers Hospitality Strengthens Malaysia Footprint with the Addition of Fraser Residence Putrajaya,01 September 2016,
61,"Frasers Hospitality Extends Footprint with 48 new properties Across Asia, Europe and the Middle East","frasers-hospitality-extends-footprint-with-48-new-properties-across-asia,-europe-and-the-middle-east",31 May 2016,31 May 2016,"https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-extends-footprint-with-48-new-properties-across-asia,-europe-and-the-middle-east/capri-berlin-lobby%20(1).jpg",press_release,,,2024-11-26 23:59:02,2024-11-26 23:59:02,en,"Frasers Hospitality Extends Footprint with 48 new properties Across Asia, Europe and the Middle East",31 May 2016,"Frasers Hospitality Extends Footprint with 48 new properties Across Asia, Europe and the Middle East",31 May 2016,
62,Frasers Hospitality to Launch Modena by Fraser in Changsha,frasers-hospitality-to-launch-modena-by-fraser-in-changsha,21 April 2016,21 April 2016,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-to-launch-modena-by-fraser-in-changsha/Modena_by_Fraser_Changsha.jpg,press_release,,,2024-11-26 23:59:02,2024-11-26 23:59:02,en,Frasers Hospitality to Launch Modena by Fraser in Changsha,21 April 2016,Frasers Hospitality to Launch Modena by Fraser in Changsha,21 April 2016,
63,Frasers Hospitality Partners With WWF-Singapore On New Earth Hour Programme For Climate Action,frasers-hospitality-partners-with-wwf-singapore-on-new-earth-hour-programme-for-climate-action,31 March 2016,31 March 2016,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-partners-with-wwf-singapore-on-new-earth-hour-programme-for-climate-action/rsz_frasers_wwf_signing-9-di.jpg,press_release,,,2024-11-26 23:59:03,2024-11-26 23:59:03,en,Frasers Hospitality Partners With WWF-Singapore On New Earth Hour Programme For Climate Action,31 March 2016,Frasers Hospitality Partners With WWF-Singapore On New Earth Hour Programme For Climate Action,31 March 2016,
64,Frasers Hospitality debuts in Geneva’s city centre,frasers-hospitality-debuts-in-geneva’s-city-centre,13 January 2016,13 January 2016,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-debuts-in-genevas-city-centre/rsz_fs_geneva.jpg,press_release,,,2024-11-26 23:59:03,2024-11-26 23:59:03,en,Frasers Hospitality debuts in Geneva’s city centre,13 January 2016,Frasers Hospitality debuts in Geneva’s city centre,13 January 2016,
65,Frasers Hospitality to Launch Modena by Fraser in Bangkok,frasers-hospitality-to-launch-modena-by-fraser-in-bangkok,26 October 2015,26 October 2015,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-launches-second-tianjin-property/Lobby-Bar.jpg,press_release,,,2024-11-26 23:59:03,2024-11-26 23:59:03,en,Frasers Hospitality to Launch Modena by Fraser in Bangkok,26 October 2015,Frasers Hospitality to Launch Modena by Fraser in Bangkok,26 October 2015,
66,Capri by Fraser Goes Global With Launches in Europe,capri-by-fraser-goes-global-with-launches-in-europe,24 September 2015,24 September 2015,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/-capri-by-fraser-goes-global-with-launches-in-europe/itemImage_1701_thumb.jpg,press_release,,,2024-11-26 23:59:04,2024-11-26 23:59:04,en,Capri by Fraser Goes Global With Launches in Europe,24 September 2015,Capri by Fraser Goes Global With Launches in Europe,24 September 2015,
67,Frasers Hospitality On Track To Grow China Presence,frasers-hospitality-on-track-to-grow-china-presence,21 August 2015,21 August 2015,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-on-track-to-grow-china-presence/rsz_frasers_logo_1_5d6f41.jpg,press_release,,,2024-11-26 23:59:04,2024-11-26 23:59:04,en,Frasers Hospitality On Track To Grow China Presence,21 August 2015,Frasers Hospitality On Track To Grow China Presence,21 August 2015,
68,Frasers Hospitality acquires UK leading boutique lifestyle hotel chain,frasers-hospitality-acquires-uk-leading-boutique-lifestyle-hotel-chain,17 June 2015,17 June 2015,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-acquires-uk-leading-boutique-lifestyle-hotel-chain/rsz_malmaison_glasgow.jpg,press_release,,,2024-11-26 23:59:05,2024-11-26 23:59:05,en,Frasers Hospitality acquires UK leading boutique lifestyle hotel chain,17 June 2015,Frasers Hospitality acquires UK leading boutique lifestyle hotel chain,17 June 2015,
69,Frasers Hospitality launches Capri by Fraser in Australia,frasers-hospitality-launches-capri-by-fraser-in-australia,14 April 2015,14 April 2015,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-launches-capri-by-fraser-in-australia/Capri_Brisbane_lobby.jpg,press_release,,,2024-11-26 23:59:05,2024-11-26 23:59:05,en,Frasers Hospitality launches Capri by Fraser in Australia,14 April 2015,Frasers Hospitality launches Capri by Fraser in Australia,14 April 2015,
70,Frasers Hospitality expands European portfolio in Germany with the unveiling of Fraser Suites Hamburg,frasers-hospitality-expands-european-portfolio-in-germany-with-the-unveiling-of-fraser-suites-hamburg,20 March 2015,20 March 2015,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/-frasers-hospitality-expands-european-portfolio-in-germany-with-the-unveiling-of-fraser-suites-hamburg/FS-Hamburg-facade.jpg,press_release,,,2024-11-26 23:59:06,2024-11-26 23:59:06,en,Frasers Hospitality expands European portfolio in Germany with the unveiling of Fraser Suites Hamburg,20 March 2015,Frasers Hospitality expands European portfolio in Germany with the unveiling of Fraser Suites Hamburg,20 March 2015,
71,Frasers Hospitality Launches Capri by Fraser for the e-Generation Traveller,frasers-hospitality-launches-capri-by-fraser-for-the-e-generation-traveller,10 April 2014,10 April 2014,https://www.frasershospitality.com/content/dam/frasers-hospitality/english/press-release/frasers-hospitality-launches-capri-by-fraser-for-the-e-generation-traveller/Pool_Night.jpg,press_release,,,2024-11-26 23:59:06,2024-11-26 23:59:06,en,Frasers Hospitality Launches Capri by Fraser for the e-Generation Traveller,10 April 2014,Frasers Hospitality Launches Capri by Fraser for the e-Generation Traveller,10 April 2014,
